epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,3363.33,0.61801,0.29378,0.77442,0.91613,0.74037,0.82575,0.59835,0.75967,0.35405,0.79219,0.0003095,0.0003095,0.0003095
116,3391.83,0.62059,0.29335,0.77454,0.88138,0.74056,0.80497,0.57528,0.77091,0.3586,0.79345,0.00030125,0.00030125,0.00030125
117,3420.24,0.62365,0.29365,0.7726,0.85546,0.74083,0.83158,0.58085,0.764,0.36136,0.79217,0.000293,0.000293,0.000293
118,3449.54,0.632,0.29437,0.77555,0.90318,0.7422,0.83454,0.59486,0.76667,0.35583,0.79172,0.00028475,0.00028475,0.00028475
119,3478.58,0.60652,0.29022,0.77259,0.92192,0.73074,0.83585,0.58894,0.76406,0.35141,0.79129,0.0002765,0.0002765,0.0002765
120,3507.5,0.61186,0.28817,0.77418,0.89501,0.73464,0.83375,0.59131,0.759,0.34852,0.7914,0.00026825,0.00026825,0.00026825
121,3536.76,0.60218,0.28809,0.77201,0.90676,0.74096,0.83297,0.58337,0.77562,0.35763,0.79272,0.00026,0.00026,0.00026
122,3565.91,0.61622,0.29085,0.77143,0.93248,0.7345,0.84502,0.59915,0.77344,0.36866,0.79231,0.00025175,0.00025175,0.00025175
123,3595.38,0.59581,0.28256,0.77409,0.93872,0.70952,0.81909,0.57504,0.76323,0.35514,0.79137,0.0002435,0.0002435,0.0002435
124,3624.62,0.5986,0.28295,0.77295,0.87173,0.74973,0.8318,0.5938,0.75034,0.34435,0.79064,0.00023525,0.00023525,0.00023525
125,3653.63,0.59472,0.28175,0.77307,0.91537,0.73926,0.835,0.57865,0.77155,0.35907,0.7903,0.000227,0.000227,0.000227
126,3683.08,0.58656,0.27911,0.77195,0.91073,0.75002,0.83607,0.58142,0.75622,0.35034,0.78944,0.00021875,0.00021875,0.00021875
127,3712.62,0.58945,0.28029,0.77259,0.87353,0.73711,0.83424,0.59649,0.75985,0.35079,0.79043,0.0002105,0.0002105,0.0002105
128,3741.63,0.5867,0.2785,0.77185,0.91535,0.74506,0.83437,0.60256,0.77105,0.35834,0.79161,0.00020225,0.00020225,0.00020225
129,3771.28,0.57706,0.2768,0.77275,0.86917,0.75378,0.83188,0.59361,0.75715,0.35014,0.79079,0.000194,0.000194,0.000194
130,3801.14,0.57829,0.27552,0.77077,0.88618,0.74991,0.83393,0.58651,0.76263,0.34735,0.79176,0.00018575,0.00018575,0.00018575
131,3831.09,0.57899,0.27407,0.77344,0.86412,0.75624,0.83944,0.58519,0.78366,0.35471,0.79257,0.0001775,0.0001775,0.0001775
132,3860.44,0.58688,0.27793,0.77089,0.85651,0.73595,0.83127,0.57715,0.77366,0.36156,0.79168,0.00016925,0.00016925,0.00016925
133,3890.03,0.56577,0.27217,0.7723,0.91215,0.73406,0.82551,0.58705,0.76994,0.35519,0.79077,0.000161,0.000161,0.000161
134,3919.42,0.57721,0.27109,0.77275,0.8826,0.7414,0.83546,0.58504,0.7574,0.34667,0.79041,0.00015275,0.00015275,0.00015275
135,3948.61,0.57968,0.27241,0.77061,0.90136,0.74173,0.83395,0.59228,0.753,0.34647,0.78965,0.0001445,0.0001445,0.0001445
136,3977.43,0.55523,0.26336,0.77188,0.89938,0.73794,0.83866,0.585,0.75812,0.3429,0.7904,0.00013625,0.00013625,0.00013625
137,4006.86,0.54862,0.26225,0.7701,0.9003,0.75547,0.8365,0.59059,0.75663,0.34761,0.79057,0.000128,0.000128,0.000128
138,4035.96,0.55774,0.26304,0.7709,0.89206,0.76134,0.82632,0.59704,0.76357,0.34801,0.79007,0.00011975,0.00011975,0.00011975
139,4065.06,0.55485,0.26439,0.77197,0.87535,0.73804,0.82509,0.59038,0.76732,0.34621,0.79211,0.0001115,0.0001115,0.0001115
140,4094.09,0.56021,0.26637,0.77066,0.88116,0.72852,0.82595,0.58331,0.77759,0.35283,0.79211,0.00010325,0.00010325,0.00010325
141,4152.12,0.51379,0.2562,0.76919,0.93814,0.73986,0.83411,0.60456,0.76658,0.34841,0.79144,9.5e-05,9.5e-05,9.5e-05
142,4181.12,0.51411,0.25543,0.7707,0.854,0.74784,0.83167,0.59154,0.77333,0.34929,0.79168,8.675e-05,8.675e-05,8.675e-05
143,4209.97,0.49685,0.24919,0.76851,0.95073,0.72356,0.82568,0.5846,0.77451,0.34581,0.79157,7.85e-05,7.85e-05,7.85e-05
144,4239.12,0.50619,0.2521,0.76954,0.86557,0.74841,0.81832,0.5809,0.77593,0.34757,0.79239,7.025e-05,7.025e-05,7.025e-05
145,4268.49,0.48949,0.24708,0.769,0.85343,0.73676,0.82534,0.5814,0.77136,0.35289,0.79151,6.2e-05,6.2e-05,6.2e-05
146,4297.66,0.49163,0.24598,0.76715,0.85682,0.74057,0.82058,0.58114,0.78053,0.3574,0.79167,5.375e-05,5.375e-05,5.375e-05
147,4327.08,0.48639,0.24533,0.76845,0.91495,0.72795,0.81621,0.57505,0.77243,0.34763,0.79191,4.55e-05,4.55e-05,4.55e-05
148,4356.46,0.48911,0.24501,0.76702,0.93215,0.73507,0.82367,0.5832,0.7685,0.34783,0.7914,3.725e-05,3.725e-05,3.725e-05
149,4385.72,0.48408,0.24365,0.76789,0.93496,0.7283,0.82473,0.58326,0.76965,0.34702,0.79094,2.9e-05,2.9e-05,2.9e-05
150,4415,0.48042,0.24054,0.76849,0.8932,0.74968,0.8312,0.58425,0.76788,0.34408,0.79073,2.075e-05,2.075e-05,2.075e-05
